"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","A","2018",73.76588,
"AUT","EMP","TOT","PC_WKGPOP","A","2018",73.025,
"BEL","EMP","TOT","PC_WKGPOP","A","2018",64.45,
"CAN","EMP","TOT","PC_WKGPOP","A","2018",73.53333,
"CZE","EMP","TOT","PC_WKGPOP","A","2018",74.825,
"DNK","EMP","TOT","PC_WKGPOP","A","2018",74.125,
"FIN","EMP","TOT","PC_WKGPOP","A","2018",72.075,
"FRA","EMP","TOT","PC_WKGPOP","A","2018",65.3,
"DEU","EMP","TOT","PC_WKGPOP","A","2018",75.9,
"GRC","EMP","TOT","PC_WKGPOP","A","2018",54.9,
"HUN","EMP","TOT","PC_WKGPOP","A","2018",69.25,
"ISL","EMP","TOT","PC_WKGPOP","A","2018",85.075,
"IRL","EMP","TOT","PC_WKGPOP","A","2018",68.65,
"ITA","EMP","TOT","PC_WKGPOP","A","2018",58.525,
"JPN","EMP","TOT","PC_WKGPOP","A","2018",76.88937,
"KOR","EMP","TOT","PC_WKGPOP","A","2018",66.61324,
"LUX","EMP","TOT","PC_WKGPOP","A","2018",67.1,
"MEX","EMP","TOT","PC_WKGPOP","A","2018",61.52908,
"NLD","EMP","TOT","PC_WKGPOP","A","2018",77.2,
"NZL","EMP","TOT","PC_WKGPOP","A","2018",77.49548,
"NOR","EMP","TOT","PC_WKGPOP","A","2018",74.8,
"POL","EMP","TOT","PC_WKGPOP","A","2018",67.4,
"PRT","EMP","TOT","PC_WKGPOP","A","2018",69.7,
"SVK","EMP","TOT","PC_WKGPOP","A","2018",67.575,
"ESP","EMP","TOT","PC_WKGPOP","A","2018",62.4,
"SWE","EMP","TOT","PC_WKGPOP","A","2018",77.375,"B"
"CHE","EMP","TOT","PC_WKGPOP","A","2018",80.1,
"TUR","EMP","TOT","PC_WKGPOP","A","2018",51.975,
"GBR","EMP","TOT","PC_WKGPOP","A","2018",75.63253,
"USA","EMP","TOT","PC_WKGPOP","A","2018",70.72614,
"CHL","EMP","TOT","PC_WKGPOP","A","2018",64.0955,
"EST","EMP","TOT","PC_WKGPOP","A","2018",74.775,
"ISR","EMP","TOT","PC_WKGPOP","A","2018",69.03333,
"SVN","EMP","TOT","PC_WKGPOP","A","2018",71.125,
"OECD","EMP","TOT","PC_WKGPOP","A","2018",68.3745,"B"
"COL","EMP","TOT","PC_WKGPOP","A","2018",66.36833,
"LVA","EMP","TOT","PC_WKGPOP","A","2018",71.8,
"LTU","EMP","TOT","PC_WKGPOP","A","2018",72.4,
